index,timeslot,total_demand,total_generation,consumption_from_grid,consumption_from_generation,grid_charge_power,generation_charge_power,discharge_power,battery_soc,battery_discharge_potential
0,1:00,10.127151779906743,0.0,10.127151779906743,0.0,0.0,0.0,0.0,0.0,0.0
1,2:00,8.978821235847894,0.0,8.978821235847894,0.0,0.0,0.0,0.0,0.0,0.0
2,3:00,8.307939186237853,0.0,8.307939186237853,0.0,0.0,0.0,0.0,0.0,0.0
3,4:00,8.076486237034874,0.0,29.999999999999975,0.0,21.9235137629651,0.0,0.0,0.0,0.0
4,5:00,8.570600412912945,0.0,27.147086649947845,0.0,18.5764862370349,0.0,0.0,21.9235137629651,21.9235137629651
5,6:00,10.157620749472711,0.0,10.157620749472711,0.0,0.0,0.0,0.0,40.5,30.0
6,7:00,15.031500576711622,0.0,15.031500576711622,0.0,0.0,0.0,0.0,40.5,30.0
7,8:00,19.314274634870742,0.0,19.314274634870742,0.0,0.0,0.0,0.0,40.5,30.0
8,9:00,17.34095406256377,0.0,17.34095406256377,0.0,0.0,0.0,0.0,40.5,30.0
9,10:00,14.28761672105815,0.0,14.28761672105815,0.0,0.0,0.0,0.0,40.5,30.0
10,11:00,12.750865011282297,0.0,12.750865011282297,0.0,0.0,0.0,0.0,40.5,30.0
11,12:00,12.059747910293828,0.0,12.059747910293828,0.0,0.0,0.0,0.0,40.5,30.0
12,13:00,11.865771190140345,0.0,11.865771190140345,0.0,0.0,0.0,0.0,40.5,30.0
13,14:00,11.39035525357924,0.0,11.39035525357924,0.0,0.0,0.0,0.0,40.5,30.0
14,15:00,11.077733624699173,0.0,11.077733624699173,0.0,0.0,0.0,0.0,40.5,30.0
15,16:00,11.829782198569674,0.0,11.829782198569674,0.0,0.0,0.0,0.0,40.5,30.0
16,17:00,14.807910587396618,0.0,14.807910587396618,0.0,0.0,0.0,0.0,40.5,30.0
17,18:00,22.82172161949097,0.0,22.82172161949097,0.0,0.0,0.0,0.0,40.5,30.0
18,19:00,27.492373678374786,0.0,13.361061846506386,0.0,0.0,0.0,14.1313118318684,40.5,30.0
19,20:00,26.368688168131577,0.0,-2.4868995751603507e-14,0.0,0.0,0.0,26.3686881681316,26.3686881681316,26.3686881681316
20,21:00,25.11237987227749,0.0,25.11237987227749,0.0,0.0,0.0,0.0,0.0,0.0
21,22:00,22.50966470976952,0.0,22.50966470976952,0.0,0.0,0.0,0.0,0.0,0.0
22,23:00,18.235238580241454,0.0,18.235238580241454,0.0,0.0,0.0,0.0,0.0,0.0
23,0:00,13.164801999135827,0.0,13.164801999135827,0.0,0.0,0.0,0.0,0.0,0.0
